"RegionName","City","State","Metro","CountyName","SizeRank","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06"
"Bay Ridge","New York","NY","New York","Kings",85,,,,,,,,,,,,,,,,,1475,1500,1500,1500,1550,1600,1499.5,1500,1500,1600,1600,1550,1525,1600,1660,1660,1600,1600,1655,1600,1600,1600,1600,1682.5,1650,1600,1600,1650,1700,1750,1700,1750,1775,1800,1750,1700,1700,1750,1750,1850,1950,1895,1800,1850,1950,1900,1887,1895,1850,1800,1850,1899.5,1900,1998
"Rogers Park","Chicago","IL","Chicago","Cook",86,,,,,,,,,,,,,,,,,,950,950,937.5,950,997.5,1007.5,1000,890,925,937.5,1095,1000,1075,995,950,975,1000,1000,1100,975,1000,995,1025,1000,1030,1050,1050,975,975,975,975,995,1000,1000,975,950,975,995,1000,1000,995,1000,1000,1000,1000,950,952.5,965,1014,1040,1050,1027.5,1050
"Hoover","Fresno","CA","Fresno","Fresno",87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,680,650,595,629,650,650,675,685,680,692.5,700,685,700,705,702.5,690,695,695,685,695,700,695,700,697.5,730,730,745,737.5,707.5,720,717.5,760,732.5,775,747.5,737.5,745,745
"South Austin","Chicago","IL","Chicago","Cook",88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750,793,799,813,851.5,840,853,850,864,912.5,865,950,980,1050,1000,1050,1035,1000
"Tremont","New York","NY","New York","Bronx",89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1275,1250,1200,1200,1250,1224,1275,1300,1250,1300,1300,1300,1300,1300,1300,1300,1300,1262.5,1250,1350,1300,1350,1400,1400,1400,1362.5,1400,1400,1400,1400,1375,1450,1350,1350
"Kensington","New York","NY","New York","Kings",90,,,,,,,,,,,,,,,,,,,,,,,,1995,1975,1950,1970,1950,1950,1990,1950,1885,1875,2100,2285,2300,2050,2050,2100,2025,1900,1900,1900,1900,2000,2000,1900,1700,1700,2000,2000,1990,1900,1975,2000,2050,2115,2000,2100,2200,2350,2300,2250,2200,2200,2150,2100,2100,2100,2200
"Encanto","Phoenix","AZ","Phoenix","Maricopa",91,,,,,,,,,,,,,,,,,,,,,,,,,,,,625,631,626,550,637,675,667,699,695,740,734,625,675,750,750,750,799.5,832,750,775,710,700,700,665,730,695,655,699,785,845,845,800,750,799.5,807.5,832.5,845,850,899.5,955,985,975,950
"Kempsville","Virginia Beach","VA","Virginia Beach","Virginia Beach City",92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1192.5,1195,1190,1050,1057.5,1070,1075,1042.5,1062.5,1040,1075,1075,1060,1010,989.5,1010,1015,1010,1017,1044,1019
"Bath Beach","New York","NY","New York","Kings",93,,,,,,,,,,,,,,,,,,,,,,,,,,1575,1500,1400,1450,1450,1395,1350,1400,1400,1375,1425,1400,1500,1400,1500,1525,1500,1500,1500,1575,1550,1500,1575,1500,1600,1600,1600,1800,1800,1725,1700,1800,1750,1750,1800,1800,1800,1800,1850,1800,1800,1800,1797.5,1750,1800
"Little Havana","Miami","FL","Miami-Fort Lauderdale","Miami-Dade",94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1337.5,1475,1500,1525,1550,1400,1580,1565,1475,1500,1450,1500,1500,1565,1550,1550,1550,1550,1550,1600,1600,1450,1450,1450
